,Area,Perimeter,Compactness,Occlusivity,Min_radial,Volume,RayPortion_sky,RayPortion_obstacles,Betweenness_car,Betweenness_ped,subjective,objective,objective_discrete
14,1646.994209,231.84626699999998,0.385036194,85.14701455,2.7833407969999997,265418.5,0.093865269,0.506115318,55024,722,1,1.129032258,0
15,1639.227997,232.8038,0.380074819,85.05997207,2.80845704,263055.0,0.093379926,0.504368084,55024,722,1,1.870967742,3
16,1642.494873,234.78677290000002,0.37442654700000005,87.33676974,2.83815921,270030.0,0.09435061199999999,0.502426713,55024,722,2,2.0,3
17,1654.970352,235.5463512,0.37484120000000004,52.84652969,2.8729023989999996,274302.0,0.09551543400000001,0.5004853429999999,55024,722,2,1.322580645,2
18,1657.303467,236.8967693,0.371102283,64.69875757,2.907645935,279179.0,0.09706853,0.49932052,55024,722,2,1.548387097,3
19,1682.3194579999997,239.5003441,0.368558175,79.09303928,2.939850962,289944.0,0.099009901,0.500291206,55024,722,2,1.322580645,2
20,1693.8049010000002,243.2291779,0.359784049,87.62562813,2.969329177,303637.0,0.10502815,0.493884683,55024,722,2,1.225806452,1
21,1740.491699,249.55245630000002,0.35120292399999997,85.82836573,2.998807392,328484.0,0.11240535800000001,0.486313337,55024,722,2,1.612903226,3
22,1826.201462,266.81805380000003,0.322350335,82.94482377,3.026800415,356018.0,0.12133566300000001,0.47796544399999996,55024,722,2,1.838709677,3
23,2123.601624,330.68096360000004,0.24404197100000002,135.3368059,3.05401343,439587.0,0.149679674,0.441079402,55024,722,2,1.225806452,1
24,3877.061165,527.0639459,0.175381955,221.7730815,4.4587144080000005,589835.0,0.195787226,0.360900796,55024,722,2,1.258064516,1
25,3226.269173,527.4704433,0.145713215,145.06104109999998,8.837534589,584277.0,0.19811687,0.34158415799999997,55024,722,2,1.5806451609999999,3
26,2433.032532,527.1851916,0.11000979999999999,186.88575930000002,4.7665858210000005,589805.0,0.19937876100000002,0.34750533899999997,46372,760,2,1.387096774,2
27,1602.900635,232.4973306,0.372632322,65.94989318,3.218999522,467980.0,0.163269268,0.42671326,46372,760,2,1.451612903,2
28,1611.225449,233.9346974,0.36997884600000003,97.71864601,3.291553478,389285.0,0.13589594300000002,0.45971656,46372,760,2,1.838709677,3
29,1589.780579,233.8514247,0.365314584,87.32395471,3.341030985,361999.0,0.12696563800000002,0.47000582399999996,46372,760,2,1.548387097,3
30,1560.1374970000002,234.332716,0.357031789,95.2193922,3.361781558,356490.0,0.125994952,0.471170646,46372,760,2,1.5161290319999998,3
31,1549.656601,237.88978999999998,0.344107175,93.39839821,3.404656648,348158.0,0.12327703400000001,0.474276839,46372,760,2,1.64516129,3
32,1584.568558,247.5113184,0.325035481,104.0863507,3.447531882,348902.0,0.122500485,0.47311201700000005,46372,760,2,1.387096774,2
33,1703.051392,302.9867062,0.23312587,139.54598719999998,3.487096675,361925.0,0.12813046,0.46631722,46372,760,2,1.161290323,0
34,1942.359985,348.14790580000005,0.20138137899999997,119.2160402,3.5179099860000003,393435.5,0.1354106,0.457289847,46372,760,2,1.35483871,2
35,1675.739311,313.4160657,0.214367924,112.32242609999999,3.551525282,389020.5,0.133372161,0.45903708,46372,760,2,1.548387097,3
36,1620.555298,234.3518594,0.37079759799999995,92.94061499,3.589813336,360483.0,0.125994952,0.46767617899999997,46372,760,2,1.4838709680000002,3
37,1706.443146,240.2261109,0.371587646,96.42093778,3.639746164,337672.0,0.116093962,0.478741992,46372,760,2,1.387096774,2
38,1746.8475039999998,248.08177,0.35667704,99.75166765,3.68967949,335026.0,0.116093962,0.47680062100000004,46372,760,2,1.161290323,0
39,1921.007156,282.10475660000003,0.30333186100000004,91.58026824,3.7255382360000002,383641.0,0.12948942,0.45758105200000004,46372,760,2,1.322580645,2
40,3538.05661,584.2535452000001,0.13024826,211.60951310000002,4.590080179,527751.0,0.171228888,0.386721025,159240,2040,2,1.032258065,0
41,2191.6367649999997,544.873787,0.092765526,272.30357000000004,4.517195035,556516.0,0.180159192,0.393709959,177740,2034,2,1.451612903,2
42,3467.6528700000003,512.4420295,0.166721049,260.6416269,3.6131794010000005,622276.5,0.205591147,0.377984857,177740,2034,2,1.322580645,2
43,3297.631699,461.3432795,0.194698953,149.40695559999997,9.582045321,595965.0,0.202484954,0.332556785,177740,2034,2,1.5161290319999998,3
44,3176.076889,451.32776739999997,0.19593714,105.0827476,6.471901379,538222.0,0.1822947,0.358377014,177740,2034,2,1.7096774190000001,3
45,1956.436188,245.6163582,0.40753130600000004,70.79087061,2.870749335,401548.0,0.139972821,0.47563579899999997,33874,774,2,1.322580645,2
46,2137.7652359999997,257.5445464,0.405105096,74.43886522,2.894695782,342134.0,0.118714813,0.600562997,33874,774,2,1.5161290319999998,3
47,2812.755081,384.3695477,0.23924553199999998,159.87190990000002,4.043006478,377149.0,0.130654242,0.432925646,33874,774,2,1.451612903,2
48,2705.661865,259.1865914,0.506125623,145.2116304,2.8743360030000003,346227.0,0.11958842900000001,0.478741992,33874,774,1,1.548387097,3
49,3087.669625,267.0444432,0.544089315,155.034061,2.800748211,339327.5,0.114637935,0.493981751,33874,774,1,1.225806452,1
50,3388.8823090000005,277.9092507,0.551364607,145.705348,2.721500757,359849.0,0.11531741400000001,0.49553484799999997,33874,774,2,0.935483871,0
51,3558.5000609999997,286.4160387,0.54510752,126.2429545,2.66602061,392130.0,0.119782566,0.493496408,33874,774,2,1.225806452,1
52,3695.677689,289.7360227,0.553221391,119.15900420000001,2.619682781,429191.0,0.131624927,0.48165404799999995,37760,774,2,1.967741935,3
53,3979.1213,301.5937455,0.549729189,113.4895561,2.578020944,506603.0,0.156959814,0.485827994,37760,650,1,1.903225806,3
54,3080.952225,283.0895661,0.483111196,114.17073629999999,1.699337399,614335.0,0.18734226399999998,0.444573869,37760,650,1,1.870967742,3
55,2800.204056,276.3685289,0.46070441100000004,112.8430537,1.967344885,532463.0,0.16307513099999998,0.472529606,37760,650,1,1.4838709680000002,3
56,2487.346375,271.7785014,0.423171033,113.999554,2.2971895140000003,529815.0,0.16249272,0.45777518899999997,37760,650,1,1.64516129,3
57,3276.1781309999997,440.9808288,0.211708333,156.8913476,2.5720548930000002,628080.0,0.194525335,0.389827218,37760,650,1,1.387096774,2
58,1950.0841670000002,254.18688819999997,0.37927737,112.45205859999999,3.0272249330000003,621182.0,0.19200155300000002,0.38710929899999996,5112740,2026,1,1.064516129,0
59,1913.631546,256.2715251,0.366157116,121.55786780000001,3.2610394169999997,453412.0,0.144243836,0.452727626,5112740,2026,1,1.266666667,1
